"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
0 -0.395656357369823 0.915 0.972 0
0 0.40866259661406 0.976 0.804 0
0 -0.661105880637767 0.961 0.999 0
0 -0.566470760381551 0.719 0.933 0
0 0.294871268907285 0.957 0.815 0
0 0.34167328814949 0.936 0.688 0
0 0.400353053389537 0.957 0.791 0
0 -0.367427036127527 0.797 0.903 0
0 -0.439543487656386 0.642 0.838 0
0 0.364091629966014 0.932 0.707 0
0 -0.287505018899226 0.995 1 0
0 -0.887426749332308 0.618 0.957 0
0 -0.288690078010792 0.976 0.998 0
0 -0.514470611818136 0.53 0.78 0
0 -0.323430073988129 0.881 0.969 0
0 -0.301726569131568 0.968 0.992 0
0 -0.492541429915096 0.866 0.967 0
0 0.347329358544559 0.827 0.465 0
0 0.324761433557141 0.947 0.719 0
0 -0.520331221950719 0.925 0.996 0
0 0.308084626759791 0.96 0.829 0
0 0.260435455540267 0.995 0.944 0
0 -0.264229310346211 0.985 1 0
0 -0.427961544981788 0.872 0.954 0
0 0.334428945880257 0.965 0.777 0
0 0.614336110325361 0.458 0.109 0
0 0.434765864480414 0.887 0.594 0
0 0.497923428306778 0.895 0.642 0
0 -0.473748632202067 0.798 0.905 0
0 0.430785205906302 0.408 0.075 0
0 -0.277511224157189 0.93 0.946 0
0 0.32515334112152 0.97 0.76 0
2.1023855239677e-301 0.368842386897009 0.52 0.167 4.20666319490697e-297
8.13150207379365e-301 0.381293901178319 0.904 0.593 1.62703224994537e-296
5.53489340989816e-298 0.383750941614491 0.59 0.23 1.10747682238652e-293
2.28752511729853e-295 0.479564667012658 0.442 0.123 4.57710900720262e-291
1.57949029721588e-294 -0.352974462068605 0.62 0.755 3.16040213569925e-290
3.5298215086642e-294 0.272303844886462 0.98 0.837 7.06281985668619e-290
1.36998625200177e-293 -0.349681536188902 0.7 0.809 2.74120549163034e-289
1.66823217182007e-292 0.276724879829694 0.478 0.132 3.33796575259478e-288
1.14339602582233e-283 0.654184067174078 0.65 0.29 2.2878211080679e-279
1.17775386628374e-283 -0.412681768243663 0.568 0.74 2.35656771104713e-279
8.07153294851549e-283 0.407121693853736 0.712 0.369 1.61503302766846e-278
1.20804033262537e-281 0.2984096662708 0.328 0.046 2.4171679015501e-277
5.19434292744541e-278 0.434458479460242 0.838 0.551 1.03933607635255e-273
5.41086279141774e-273 0.459734778313653 0.601 0.261 1.08265953593478e-268
1.49808194368481e-272 -0.266600465469403 0.96 0.992 2.99751216111893e-268
1.6461801424661e-271 -0.250060577059598 0.908 0.939 3.29384184706042e-267
6.04268289107203e-270 0.575656945849101 0.488 0.164 1.2090804196746e-265
7.93033985808089e-269 0.446091032813907 0.401 0.102 1.5867817022034e-264
1.51562499839488e-268 -0.362441530628749 0.638 0.809 3.03261405928832e-264
8.39582484103649e-266 0.604466250260342 0.47 0.16 1.67992059244299e-261
7.31737456077892e-265 0.448151306264695 0.425 0.12 1.46413347586625e-260
4.1682888452149e-264 0.48011645724225 0.542 0.209 8.3403291503905e-260
1.07098121352783e-263 -0.470573400857768 0.268 0.608 2.14292631014783e-259
1.21048063003821e-263 0.347672876031538 0.739 0.405 2.42205069264344e-259
9.58467358763262e-261 0.329242978749492 0.883 0.573 1.91779733814941e-256
1.26137551171916e-260 0.640924574360263 0.571 0.25 2.52388626139887e-256
4.4910881605452e-260 0.398591896283198 0.555 0.233 8.98621830043488e-256
3.63829421581544e-258 -0.312677558361 0.879 0.981 7.27986289642511e-254
