"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENO1",0,0.395656357369823,0.972,0.915,0
"VPS13D",0,-0.40866259661406,0.804,0.976,0
"S100A2",0,0.661105880637767,0.999,0.961,0
"S100A16",0,0.566470760381551,0.933,0.719,0
"SERP1",0,-0.294871268907285,0.815,0.957,0
"EIF4A2",0,-0.34167328814949,0.688,0.936,0
"HMGN3",0,-0.400353053389537,0.791,0.957,0
"TUBB",0,0.367427036127527,0.903,0.797,0
"CAV2",0,0.439543487656386,0.838,0.642,0
"ARPC1B",0,-0.364091629966014,0.707,0.932,0
"ACTB",0,0.287505018899226,1,0.995,0
"RBM3",0,0.887426749332308,0.957,0.618,0
"RPL35",0,0.288690078010792,0.998,0.976,0
"PTGES",0,0.514470611818136,0.78,0.53,0
"PPP1R14B",0,0.323430073988129,0.969,0.881,0
"CFL1",0,0.301726569131568,0.992,0.968,0
"CCND1",0,0.492541429915096,0.967,0.866,0
"SUDS3",0,-0.347329358544559,0.465,0.827,0
"MLEC",0,-0.324761433557141,0.719,0.947,0
"KRT7",0,0.520331221950719,0.996,0.925,0
"COMMD6",0,-0.308084626759791,0.829,0.96,0
"KTN1",0,-0.260435455540267,0.944,0.995,0
"RPS29",0,0.264229310346211,1,0.985,0
"EIF5A",0,0.427961544981788,0.954,0.872,0
"SCPEP1",0,-0.334428945880257,0.777,0.965,0
"CFAP53",0,-0.614336110325361,0.109,0.458,0
"CHST9",0,-0.434765864480414,0.594,0.887,0
"MUC16",0,-0.497923428306778,0.642,0.895,0
"C19orf33",0,0.473748632202067,0.905,0.798,0
"NWD1",0,-0.430785205906302,0.075,0.408,0
"CIRBP",0,0.277511224157189,0.946,0.93,0
"DDX17",0,-0.32515334112152,0.76,0.97,0
"SAMHD1",2.1023855239677e-301,-0.368842386897009,0.167,0.52,4.20666319490697e-297
"SYNE2",8.13150207379365e-301,-0.381293901178319,0.593,0.904,1.62703224994537e-296
"TEX9",5.53489340989816e-298,-0.383750941614491,0.23,0.59,1.10747682238652e-293
"CCDC33",2.28752511729853e-295,-0.479564667012658,0.123,0.442,4.57710900720262e-291
"SMIM4",1.57949029721588e-294,0.352974462068605,0.755,0.62,3.16040213569925e-290
"GTF2I",3.5298215086642e-294,-0.272303844886462,0.837,0.98,7.06281985668619e-290
"EIF6",1.36998625200177e-293,0.349681536188902,0.809,0.7,2.74120549163034e-289
"H2AC6",1.66823217182007e-292,-0.276724879829694,0.132,0.478,3.33796575259478e-288
"TPPP3",1.14339602582233e-283,-0.654184067174078,0.29,0.65,2.2878211080679e-279
"HMGA1",1.17775386628374e-283,0.412681768243663,0.74,0.568,2.35656771104713e-279
"CYP4B1",8.07153294851549e-283,-0.407121693853736,0.369,0.712,1.61503302766846e-278
"DOC2A",1.20804033262537e-281,-0.2984096662708,0.046,0.328,2.4171679015501e-277
"NUCB2",5.19434292744541e-278,-0.434458479460242,0.551,0.838,1.03933607635255e-273
"DYNLT2B",5.41086279141774e-273,-0.459734778313653,0.261,0.601,1.08265953593478e-268
"ALDH1A3",1.49808194368481e-272,0.266600465469403,0.992,0.96,2.99751216111893e-268
"TXNDC17",1.6461801424661e-271,0.250060577059598,0.939,0.908,3.29384184706042e-267
"ENSG00000277639",6.04268289107203e-270,-0.575656945849101,0.164,0.488,1.2090804196746e-265
"LDLRAD1",7.93033985808089e-269,-0.446091032813907,0.102,0.401,1.5867817022034e-264
"LDHA",1.51562499839488e-268,0.362441530628749,0.809,0.638,3.03261405928832e-264
"HOATZ",8.39582484103649e-266,-0.604466250260342,0.16,0.47,1.67992059244299e-261
"MS4A8",7.31737456077892e-265,-0.448151306264695,0.12,0.425,1.46413347586625e-260
"AGR3",4.1682888452149e-264,-0.48011645724225,0.209,0.542,8.3403291503905e-260
"FLNA",1.07098121352783e-263,0.470573400857768,0.608,0.268,2.14292631014783e-259
"GCHFR",1.21048063003821e-263,-0.347672876031538,0.405,0.739,2.42205069264344e-259
"MFSD10",9.58467358763262e-261,-0.329242978749492,0.573,0.883,1.91779733814941e-256
"RSPH1",1.26137551171916e-260,-0.640924574360263,0.25,0.571,2.52388626139887e-256
"DNAJA4",4.4910881605452e-260,-0.398591896283198,0.233,0.555,8.98621830043488e-256
"F3",3.63829421581544e-258,0.312677558361,0.981,0.879,7.27986289642511e-254
"DYNLRB2",1.32437436738236e-257,-0.54377181217604,0.154,0.456,2.64994067169537e-253
"SCEL",1.32864369713669e-252,0.366880724290218,0.498,0.204,2.65848317360079e-248
"SH3BGRL3",3.95456243349987e-252,0.271343421323125,0.932,0.907,7.91268397318988e-248
"ENKUR",2.54064187379548e-251,-0.514320348644796,0.128,0.412,5.08357032527738e-247
"CCDC78",1.04726424122237e-247,-0.504925976151552,0.154,0.453,2.09547102026183e-243
"AKAP9",5.68064827957516e-246,-0.309843778074592,0.83,0.976,1.13664091426019e-241
"PLEKHS1",5.19899275324959e-242,-0.339078877142412,0.453,0.787,1.04026645999771e-237
"SARAF",3.32987495063184e-240,-0.270346837511327,0.829,0.968,6.66274678871926e-236
"C11orf97",9.02524554852053e-240,-0.420940850746854,0.096,0.371,1.80586138180347e-235
"CFAP70",2.6975737840108e-238,-0.36955382649112,0.143,0.443,5.39757538442721e-234
"TSTD1",3.10228584928296e-238,-0.2825785269816,0.83,0.952,6.20736375583028e-234
