"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.72274282104354e-94,0.375237123604144,0.637,0.23,1.11682284631306e-90,"Llama Cluster 1","LOC116285910"
1.28055483771935e-93,0.492248008188339,0.775,0.301,3.84166451315806e-90,"Llama Cluster 1","LHFPL6"
1.46170941758049e-93,1.09927258517641,0.822,0.476,4.38512825274147e-90,"Llama Cluster 1","ALCAM"
3.23808213918164e-93,0.546599288237548,0.741,0.293,9.71424641754493e-90,"Llama Cluster 1","TNC"
2.68282652781812e-92,0.866833799243424,0.742,0.284,8.04847958345436e-89,"Llama Cluster 1","SPARC"
2.80756206232631e-92,0.937461899584681,0.698,0.281,8.42268618697892e-89,"Llama Cluster 1","PTGS2"
6.71071670118687e-92,0.98056787387223,0.846,0.381,2.01321501035606e-88,"Llama Cluster 1","ITGA2"
1.26951617616918e-91,0.406059531632417,0.588,0.217,3.80854852850753e-88,"Llama Cluster 1","GJA1"
8.22761752053167e-91,1.55057118814284,0.834,0.357,2.4682852561595e-87,"Llama Cluster 1","CDH6"
1.92714805191842e-90,0.829272196068405,0.742,0.32,5.78144415575525e-87,"Llama Cluster 1","NIPAL1"
2.14425667560119e-90,0.388569169094194,0.603,0.239,6.43277002680358e-87,"Llama Cluster 1","FOXE1"
1.81266578763316e-89,1.10473974989608,0.824,0.462,5.43799736289949e-86,"Llama Cluster 1","APP"
2.2054112852127e-89,0.787957122945786,0.844,0.455,6.61623385563811e-86,"Llama Cluster 1","S100A11"
2.4141741959013e-89,0.512797340634072,0.754,0.291,7.24252258770389e-86,"Llama Cluster 1","PTGES"
3.23782426907775e-89,0.899021907876912,0.819,0.379,9.71347280723324e-86,"Llama Cluster 1","CCND1"
4.35494175901143e-89,0.86969647321427,0.775,0.331,1.30648252770343e-85,"Llama Cluster 1","TGFBI"
7.5768170386993e-88,0.352608366632328,0.602,0.249,2.27304511160979e-84,"Llama Cluster 1","LOC102533256"
8.25585660937676e-88,0.40687546716926,0.686,0.255,2.47675698281303e-84,"Llama Cluster 1","CCND2"
1.1829476541483e-87,0.473315457461893,0.69,0.274,3.5488429624449e-84,"Llama Cluster 1","PDLIM3"
3.08266732016131e-87,0.603976855455753,0.736,0.302,9.24800196048394e-84,"Llama Cluster 1","MRC2"
3.91301795053214e-87,0.277056403444609,0.573,0.193,1.17390538515964e-83,"Llama Cluster 1","SMTN"
5.59889654300497e-87,1.20206791057803,0.825,0.374,1.67966896290149e-83,"Llama Cluster 1","PMEPA1"
8.13521835433083e-87,0.373942317305724,0.525,0.219,2.44056550629925e-83,"Llama Cluster 1","ACER2"
1.08809168602336e-86,0.393727069298963,0.592,0.253,3.26427505807009e-83,"Llama Cluster 1","GPC4"
5.59977719002616e-86,0.298912181494329,0.547,0.224,1.67993315700785e-82,"Llama Cluster 1","GNG11"
6.12518335364414e-86,0.616506839942095,0.71,0.287,1.83755500609324e-82,"Llama Cluster 1","TIMP3"
2.40408651250726e-85,0.563754744430894,0.707,0.289,7.21225953752179e-82,"Llama Cluster 1","CAMK2A"
5.97733297430009e-85,0.80844255249785,0.79,0.362,1.79319989229003e-81,"Llama Cluster 1","RELL1"
1.42627781853097e-84,0.808094329142353,0.827,0.392,4.27883345559292e-81,"Llama Cluster 1","S100A10"
2.76645976684651e-84,0.89772104595182,0.847,0.421,8.29937930053952e-81,"Llama Cluster 1","GPX1"
3.20652803853211e-84,0.587336100753057,0.678,0.296,9.61958411559634e-81,"Llama Cluster 1","ANGPTL7"
1.10424821176299e-83,0.628344918093733,0.641,0.274,3.31274463528897e-80,"Llama Cluster 1","S100A4"
1.37203019193286e-83,1.02822508389416,0.805,0.408,4.11609057579859e-80,"Llama Cluster 1","ECE1"
1.75345685315553e-83,0.764280692170549,0.759,0.328,5.2603705594666e-80,"Llama Cluster 1","SPNS2"
5.06761857354125e-83,0.286533761495861,0.515,0.225,1.52028557206237e-79,"Llama Cluster 1","STXBP6"
6.94348536779767e-83,0.902684331738215,0.693,0.315,2.0830456103393e-79,"Llama Cluster 1","CLDN8"
1.25422494626688e-82,0.403102014856615,0.658,0.268,3.76267483880063e-79,"Llama Cluster 1","PODXL"
1.68695862852163e-82,0.743445694071094,0.781,0.339,5.0608758855649e-79,"Llama Cluster 1","TGFB2"
2.46980008753191e-82,0.520531455672172,0.741,0.307,7.40940026259573e-79,"Llama Cluster 1","LBH"
7.19179566185928e-82,0.469685293484381,0.571,0.268,2.15753869855778e-78,"Llama Cluster 1","FLRT2"
3.51023083392172e-81,0.563301251580927,0.714,0.298,1.05306925017651e-77,"Llama Cluster 1","DAB2"
5.0621905978521e-81,0.431756281179757,0.671,0.276,1.51865717935563e-77,"Llama Cluster 1","COL4A5"
5.80467236797428e-81,0.592416885393887,0.688,0.301,1.74140171039229e-77,"Llama Cluster 1","WNT11"
1.00474122514638e-80,0.285907122197482,0.312,0.17,3.01422367543914e-77,"Llama Cluster 1","IL13RA2"
1.13369694798399e-80,0.477517177166553,0.685,0.284,3.40109084395198e-77,"Llama Cluster 1","SFTA2"
1.48496168737544e-80,1.11145921470833,0.778,0.33,4.45488506212632e-77,"Llama Cluster 1","IVL"
1.52568211367292e-80,0.553740595327888,0.456,0.222,4.57704634101875e-77,"Llama Cluster 1","COL8A1"
1.73896383661433e-80,0.696433595963625,0.792,0.336,5.21689150984298e-77,"Llama Cluster 1","DKK3"
2.94928407593837e-80,0.829019641110418,0.775,0.333,8.8478522278151e-77,"Llama Cluster 1","ECM1"
5.636647683441e-80,1.81638382349897,0.753,0.392,1.6909943050323e-76,"Llama Cluster 1","FN1"
5.7360625380952e-80,0.833385246239264,0.742,0.397,1.72081876142856e-76,"Llama Cluster 1","ITGAV"
8.08261610288288e-80,0.604095276825353,0.697,0.298,2.42478483086486e-76,"Llama Cluster 1","VASN"
2.9532180118859e-79,0.882793197361949,0.807,0.389,8.8596540356577e-76,"Llama Cluster 1","LOC102544403"
3.67599758799439e-79,0.914506535034899,0.769,0.398,1.10279927639832e-75,"Llama Cluster 1","ABCC4"
8.74718629812222e-79,1.9759081858835,0.778,0.352,2.62415588943667e-75,"Llama Cluster 1","SPP1"
1.31065763251049e-78,1.16219817203139,0.749,0.351,3.93197289753148e-75,"Llama Cluster 1","LOXL4"
2.54229290026085e-78,0.709097296789141,0.739,0.345,7.62687870078255e-75,"Llama Cluster 1","LOC116281208"
3.14367731405191e-78,0.823794498359101,0.775,0.351,9.43103194215573e-75,"Llama Cluster 1","TM4SF1"
4.15793471545426e-78,0.71927727942237,0.797,0.356,1.24738041463628e-74,"Llama Cluster 1","CAVIN1"
4.40436545749034e-78,0.368445656436301,0.566,0.218,1.3213096372471e-74,"Llama Cluster 1","CCDC80"
4.48432196958092e-78,1.05620299251735,0.815,0.439,1.34529659087428e-74,"Llama Cluster 1","KRT19"
4.64414537289746e-78,0.391094689531784,0.625,0.267,1.39324361186924e-74,"Llama Cluster 1","LOC102527828"
4.90281556977606e-78,0.282776652506982,0.488,0.223,1.47084467093282e-74,"Llama Cluster 1","CREB5"
6.16072579036918e-77,0.394917813072093,0.615,0.267,1.84821773711075e-73,"Llama Cluster 1","MALL"
1.03780266900587e-76,0.448860199640793,0.658,0.296,3.11340800701762e-73,"Llama Cluster 1","DEFB1"
1.48247417641877e-75,0.710681434119929,0.756,0.339,4.44742252925631e-72,"Llama Cluster 1","HBEGF"
1.79875539045982e-75,0.799712087904675,0.756,0.352,5.39626617137946e-72,"Llama Cluster 1","CAV1"
1.93330619491968e-75,1.01774485787235,0.692,0.378,5.79991858475904e-72,"Llama Cluster 1","SORBS2"
5.08917542005623e-75,0.679411719069897,0.763,0.36,1.52675262601687e-71,"Llama Cluster 1","LOC116277920"
1.02022106334168e-74,0.84831215219458,0.814,0.45,3.06066319002503e-71,"Llama Cluster 1","TPM4"
1.02790756029112e-74,0.828209477595951,0.768,0.403,3.08372268087336e-71,"Llama Cluster 1","FILIP1L"
2.3739537085487e-74,0.743123311618835,0.676,0.326,7.12186112564609e-71,"Llama Cluster 1","PADI1"
2.75025736863614e-74,0.707907161434989,0.822,0.425,8.25077210590841e-71,"Llama Cluster 1","S100A6"
7.16159469674611e-74,0.587835214574554,0.685,0.31,2.14847840902383e-70,"Llama Cluster 1","ANOS1"
7.35453296747818e-74,0.809653411041299,0.781,0.343,2.20635989024345e-70,"Llama Cluster 1","LGI2"
1.0280364107305e-73,0.563591775548496,0.451,0.244,3.08410923219149e-70,"Llama Cluster 1","LOC107034385"
2.35737657877137e-73,0.870877903164876,0.788,0.419,7.0721297363141e-70,"Llama Cluster 1","KRT8"
3.5188844329836e-73,0.346194917441255,0.6,0.257,1.05566532989508e-69,"Llama Cluster 1","MYL9"
3.78926414913324e-73,0.648498200944497,0.785,0.383,1.13677924473997e-69,"Llama Cluster 1","MSN"
4.31395268759356e-73,0.705930212927142,0.8,0.434,1.29418580627807e-69,"Llama Cluster 1","C11H19orf33"
1.03379616132219e-72,0.737390405499536,0.656,0.303,3.10138848396656e-69,"Llama Cluster 1","LOC102527799"
1.0381097719192e-72,0.67799999856359,0.695,0.325,3.11432931575761e-69,"Llama Cluster 1","COL12A1"
2.05449504123344e-72,0.351852363711828,0.647,0.282,6.16348512370031e-69,"Llama Cluster 1","NDRG1"
2.83329272714538e-72,0.347526096602456,0.583,0.264,8.49987818143613e-69,"Llama Cluster 1","MAP7D2"
3.2491650171798e-72,0.312576374555014,0.429,0.232,9.7474950515394e-69,"Llama Cluster 1","LOC116285036"
4.02019445137248e-72,0.817432415873053,0.792,0.402,1.20605833541174e-68,"Llama Cluster 1","SPRED1"
4.60005980211808e-72,0.364940902269793,0.671,0.28,1.38001794063542e-68,"Llama Cluster 1","UPK2"
8.71386660230844e-72,0.914372118808491,0.742,0.37,2.61415998069253e-68,"Llama Cluster 1","CGNL1"
1.97282476531207e-71,0.917399407278004,0.753,0.409,5.91847429593621e-68,"Llama Cluster 1","FUCA1"
2.04934123891561e-71,0.466127815748408,0.342,0.226,6.14802371674683e-68,"Llama Cluster 1","LOC116277746"
3.73323148751318e-71,0.831246002531582,0.771,0.384,1.11996944625395e-67,"Llama Cluster 1","CALD1"
4.18176407817021e-71,0.522165941949529,0.529,0.285,1.25452922345106e-67,"Llama Cluster 1","HSPG2"
4.51884153773151e-71,0.703413679773572,0.773,0.389,1.35565246131945e-67,"Llama Cluster 1","PPFIBP1"
5.54338667267728e-71,0.56463521944927,0.678,0.311,1.66301600180318e-67,"Llama Cluster 1","GPC3"
1.4250185049166e-70,0.775030130263726,0.785,0.402,4.2750555147498e-67,"Llama Cluster 1","KRT18"
1.49962498477309e-70,0.400246293268207,0.664,0.3,4.49887495431926e-67,"Llama Cluster 1","EDIL3"
8.02337685302607e-70,0.71815226040787,0.744,0.374,2.40701305590782e-66,"Llama Cluster 1","NOX4"
1.18417372278363e-69,0.397817053064402,0.475,0.253,3.55252116835089e-66,"Llama Cluster 1","LGR5"
2.02785772234576e-69,0.699693069423007,0.698,0.371,6.08357316703728e-66,"Llama Cluster 1","ITGB6"
2.33743442950989e-69,0.663381772145097,0.729,0.356,7.01230328852967e-66,"Llama Cluster 1","TNFRSF12A"
3.07500584891582e-69,0.524840234080033,0.686,0.308,9.22501754674744e-66,"Llama Cluster 1","FAT2"
3.51353209797828e-69,0.936168770694027,0.722,0.397,1.05405962939348e-65,"Llama Cluster 1","LAMA3"
7.15813039098222e-69,1.17734560118738,0.598,0.325,2.14743911729467e-65,"Llama Cluster 1","MMP7"
9.69530774779508e-69,0.674278848093475,0.764,0.361,2.90859232433852e-65,"Llama Cluster 1","GPX3"
1.33718667070814e-68,0.946033013983082,0.736,0.423,4.01156001212441e-65,"Llama Cluster 1","LAMB3"
1.9521725612089e-68,0.816494954550734,0.756,0.375,5.8565176836267e-65,"Llama Cluster 1","COL17A1"
2.47975914424019e-68,0.312957851473226,0.276,0.196,7.43927743272057e-65,"Llama Cluster 1","SERPINB7"
2.82073630903245e-68,0.664481257737226,0.736,0.369,8.46220892709734e-65,"Llama Cluster 1","DSC2"
5.86430761787003e-68,0.317601848721319,0.356,0.213,1.75929228536101e-64,"Llama Cluster 1","TNFAIP2"
7.82279965781323e-68,0.772668927945088,0.754,0.418,2.34683989734397e-64,"Llama Cluster 1","CAPN2"
3.93715870818363e-67,0.761223132564322,0.647,0.357,1.18114761245509e-63,"Llama Cluster 1","COL4A4"
8.74503070905555e-67,0.508563617604791,0.68,0.321,2.62350921271667e-63,"Llama Cluster 1","KRT80"
1.91871272721622e-66,0.776519796103496,0.737,0.379,5.75613818164865e-63,"Llama Cluster 1","FLNA"
1.99169993918898e-66,0.627816874933777,0.722,0.36,5.97509981756693e-63,"Llama Cluster 1","ITGA6"
2.96340818603316e-66,0.486948631700553,0.588,0.293,8.89022455809947e-63,"Llama Cluster 1","RBMS3"
5.60615897727051e-66,0.426980165053843,0.554,0.275,1.68184769318115e-62,"Llama Cluster 1","EPHA7"
6.05910732675077e-66,0.539945399267121,0.764,0.384,1.81773219802523e-62,"Llama Cluster 1","S100A16"
8.10223151611051e-66,0.759069301101068,0.756,0.372,2.43066945483315e-62,"Llama Cluster 1","EMP1"
8.1971936806835e-66,0.619601872885946,0.778,0.43,2.45915810420505e-62,"Llama Cluster 1","TMSB4X"
1.3530658563275e-65,0.831890815361172,0.724,0.413,4.05919756898249e-62,"Llama Cluster 1","SON"
2.33814367087506e-65,0.980676290028448,0.81,0.472,7.01443101262519e-62,"Llama Cluster 1","ZFP36L1"
2.88645745773075e-65,0.499549792616278,0.661,0.32,8.65937237319226e-62,"Llama Cluster 1","IGFBP7"
4.79034501792447e-65,0.414423519192098,0.642,0.303,1.43710350537734e-61,"Llama Cluster 1","GRHL3"
4.83451549102899e-65,0.932298935126878,0.685,0.362,1.4503546473087e-61,"Llama Cluster 1","MAN2B1"
5.33284702775616e-65,0.706911510965402,0.764,0.364,1.59985410832685e-61,"Llama Cluster 1","TXN"
1.87509308865997e-64,0.710603992714377,0.692,0.359,5.62527926597991e-61,"Llama Cluster 1","NAMPT"
3.58511732534747e-64,0.822728058095759,0.734,0.413,1.07553519760424e-60,"Llama Cluster 1","TM7SF2"
5.81331940195725e-64,0.974686699756151,0.671,0.424,1.74399582058717e-60,"Llama Cluster 1","AGRN"
7.45099555474648e-64,1.04639803932693,0.656,0.32,2.23529866642395e-60,"Llama Cluster 1","LOC102545839"
2.24565625587673e-63,0.26671570929344,0.251,0.162,6.7369687676302e-60,"Llama Cluster 1","CLDN10"
6.05430703029357e-63,0.597425609653166,0.653,0.35,1.81629210908807e-59,"Llama Cluster 1","SORCS2"
7.98903214854103e-63,0.334033698511461,0.642,0.292,2.39670964456231e-59,"Llama Cluster 1","LOC102538473"
2.19539325935612e-62,0.261551413622219,0.446,0.237,6.58617977806835e-59,"Llama Cluster 1","LOC102540637"
5.02062717551811e-61,0.66965232176647,0.68,0.374,1.50618815265543e-57,"Llama Cluster 1","SEMA3A"
9.7364821755649e-61,0.526500913235923,0.698,0.354,2.92094465266947e-57,"Llama Cluster 1","BCL2"
2.07506058704418e-60,0.261240640509067,0.502,0.276,6.22518176113254e-57,"Llama Cluster 1","LOC102536201"
2.82382334437177e-60,0.752458733877689,0.707,0.387,8.47147003311532e-57,"Llama Cluster 1","ICAM1"
3.22421158762441e-60,1.03506666965308,0.608,0.351,9.67263476287322e-57,"Llama Cluster 1","IGFBP3"
5.25246767652213e-60,0.645791127178145,0.768,0.4,1.57574030295664e-56,"Llama Cluster 1","PPP3CA"
6.2559757519029e-60,0.527561226375709,0.712,0.368,1.87679272557087e-56,"Llama Cluster 1","COTL1"
1.10467014924481e-59,0.561157798843261,0.737,0.374,3.31401044773443e-56,"Llama Cluster 1","PTMS"
1.3769598356813e-59,0.563316453152936,0.544,0.344,4.13087950704391e-56,"Llama Cluster 1","SCARB1"
1.38012844299617e-59,0.534399707729574,0.632,0.338,4.14038532898852e-56,"Llama Cluster 1","AMIGO2"
1.92723785811488e-59,0.519711362679479,0.746,0.372,5.78171357434465e-56,"Llama Cluster 1","RBP1"
6.80163960973064e-59,0.545283562239665,0.673,0.35,2.04049188291919e-55,"Llama Cluster 1","CDK6"
7.08570249121731e-59,0.358736800146756,0.569,0.299,2.12571074736519e-55,"Llama Cluster 1","SMAD7"
1.26687738183705e-58,0.697372055132764,0.703,0.395,3.80063214551115e-55,"Llama Cluster 1","LGR4"
1.52556612298938e-58,0.95877524574807,0.588,0.35,4.57669836896813e-55,"Llama Cluster 1","AGR2"
2.42793648086145e-58,0.552645173263185,0.744,0.376,7.28380944258435e-55,"Llama Cluster 1","PPARG"
2.89173895703622e-58,0.421457717106467,0.617,0.31,8.67521687110867e-55,"Llama Cluster 1","MTURN"
3.92757376045604e-58,0.297969647923672,0.392,0.251,1.17827212813681e-54,"Llama Cluster 1","CD38"
3.82967848499113e-57,0.801978416686186,0.727,0.429,1.14890354549734e-53,"Llama Cluster 1","SFRP1"
6.16366448256515e-57,0.632032584720043,0.722,0.401,1.84909934476954e-53,"Llama Cluster 1","MAGED1"
1.04101452944647e-56,0.531950975583094,0.702,0.358,3.1230435883394e-53,"Llama Cluster 1","P4HA2"
1.51772694539496e-56,0.683345632676118,0.708,0.368,4.55318083618487e-53,"Llama Cluster 1","SFN"
2.10071617626261e-56,0.308365747930864,0.251,0.205,6.30214852878784e-53,"Llama Cluster 1","B4GALNT2"
4.14186899469827e-56,0.36989603930469,0.547,0.292,1.24256069840948e-52,"Llama Cluster 1","CX3CL1"
8.66254633271822e-56,0.952006826332098,0.722,0.423,2.59876389981546e-52,"Llama Cluster 1","EFEMP1"
1.06697203648421e-55,0.647347977353455,0.681,0.383,3.20091610945264e-52,"Llama Cluster 1","SCEL"
1.2013997990784e-55,1.03288812601285,0.634,0.365,3.6041993972352e-52,"Llama Cluster 1","APOBEC1"
5.80820829749957e-55,0.5168323712627,0.7,0.389,1.74246248924987e-51,"Llama Cluster 1","RHBDL2"
1.24600874235986e-54,0.56615216361505,0.676,0.36,3.73802622707958e-51,"Llama Cluster 1","TNFRSF1B"
2.64393524502837e-54,0.628563598838465,0.69,0.387,7.93180573508512e-51,"Llama Cluster 1","VEGFA"
3.34766529046538e-54,0.525528522692506,0.602,0.336,1.00429958713961e-50,"Llama Cluster 1","MAP2"
3.65985509862272e-54,0.382753361275533,0.475,0.292,1.09795652958682e-50,"Llama Cluster 1","MFGE8"
6.21357101440458e-54,0.540867615197502,0.556,0.347,1.86407130432137e-50,"Llama Cluster 1","LRRK2"
6.36591185938957e-54,0.625374809513591,0.673,0.372,1.90977355781687e-50,"Llama Cluster 1","BAMBI"
7.48798287449702e-54,0.528636618004101,0.764,0.411,2.24639486234911e-50,"Llama Cluster 1","ANXA3"
8.24577057656036e-54,0.453010597598039,0.468,0.316,2.47373117296811e-50,"Llama Cluster 1","DHCR24"
1.62899676909768e-53,0.468084713942651,0.593,0.34,4.88699030729304e-50,"Llama Cluster 1","FERMT2"
1.64746245477794e-53,0.748916385750492,0.68,0.409,4.94238736433381e-50,"Llama Cluster 1","PLXDC2"
2.9525545284396e-53,0.444223227125056,0.353,0.253,8.85766358531879e-50,"Llama Cluster 1","LOC102527519"
6.62649478873284e-53,0.56106382185586,0.68,0.379,1.98794843661985e-49,"Llama Cluster 1","CAV2"
8.0228070533994e-53,0.64389426016214,0.727,0.414,2.40684211601982e-49,"Llama Cluster 1","TES"
1.64409202003949e-52,0.274583687015585,0.303,0.268,4.93227606011847e-49,"Llama Cluster 1","SLC22A17"
2.6896608812709e-52,0.660462337982612,0.551,0.36,8.06898264381269e-49,"Llama Cluster 1","CTSH"
3.14099061675113e-52,0.469303639858371,0.729,0.409,9.42297185025338e-49,"Llama Cluster 1","SH3BGRL3"
4.22829214670004e-52,0.807806553740644,0.585,0.385,1.26848764401001e-48,"Llama Cluster 1","WSB1"
5.89057573306264e-52,0.47784375678468,0.51,0.326,1.76717271991879e-48,"Llama Cluster 1","MBOAT2"
2.03902783470895e-51,0.380198602089854,0.576,0.31,6.11708350412685e-48,"Llama Cluster 1","LOC102543629"
2.07288291171455e-51,0.565790987188025,0.763,0.45,6.21864873514364e-48,"Llama Cluster 1","RPL27A"
