"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.35240726291482e-236,0.919050480565516,0.501,0.226,7.05722178874446e-233,"Secretory","RGCC"
2.52879701601405e-236,0.952540470852876,0.59,0.344,7.58639104804216e-233,"Secretory","TMPRSS4"
1.81976930009993e-233,0.312411681756049,0.37,0.093,5.45930790029978e-230,"Secretory","RGS7BP"
3.9172106914071e-233,3.26092824460551,0.503,0.21,1.17516320742213e-229,"Secretory","VMO1"
2.44340425555518e-231,0.843236522972822,0.521,0.296,7.33021276666555e-228,"Secretory","CHKA"
9.99634129317652e-231,0.935286051066105,0.573,0.325,2.99890238795296e-227,"Secretory","KLF3"
2.12966726811771e-224,0.821644474105558,0.56,0.299,6.38900180435314e-221,"Secretory","C3"
9.60813548945616e-223,1.055195762515,0.491,0.216,2.88244064683685e-219,"Secretory","FOXQ1"
1.1132712611876e-221,0.752012895452469,0.641,0.389,3.33981378356281e-218,"Secretory","RPL7A"
6.02264915089106e-216,0.815466130287082,0.656,0.403,1.80679474526732e-212,"Secretory","RPS12"
1.24996719640171e-215,1.19946469587318,0.452,0.212,3.74990158920512e-212,"Secretory","RNF39"
1.14577602927151e-213,1.20947163418771,0.498,0.244,3.43732808781454e-210,"Secretory","RDH10"
1.18982694862957e-213,0.760277780967022,0.53,0.305,3.5694808458887e-210,"Secretory","ACSL1"
5.92921077212584e-212,0.953208374302912,0.499,0.157,1.77876323163775e-208,"Secretory","LEPR"
9.30613265565144e-212,0.872774810554994,0.567,0.338,2.79183979669543e-208,"Secretory","DUSP4"
1.64846474882975e-210,1.74837814266225,0.449,0.175,4.94539424648924e-207,"Secretory","BPIFA2"
8.418625737811e-207,0.881385289504473,0.499,0.26,2.5255877213433e-203,"Secretory","GABRP"
2.58147430180687e-206,0.861358485966053,0.522,0.308,7.7444229054206e-203,"Secretory","DNAJB12"
2.40862476485952e-203,0.853065035436184,0.513,0.188,7.22587429457855e-200,"Secretory","ARTN"
8.45659649382552e-202,1.17661015671265,0.513,0.255,2.53697894814766e-198,"Secretory","LIF"
9.97877491494974e-201,0.854092556564665,0.5,0.238,2.99363247448492e-197,"Secretory","AVPI1"
1.21197410059162e-198,0.81780766602161,0.559,0.314,3.63592230177485e-195,"Secretory","IRS2"
2.27420695254018e-197,0.750888844254958,0.505,0.305,6.82262085762054e-194,"Secretory","STK17B"
3.88195403487293e-197,0.911329360682408,0.566,0.341,1.16458621046188e-193,"Secretory","IER3"
2.88359807244677e-195,0.740643356461722,0.529,0.327,8.65079421734032e-192,"Secretory","GRAMD2B"
4.87819400446343e-194,0.778384941576344,0.506,0.3,1.46345820133903e-190,"Secretory","APIP"
1.07543276927154e-193,1.31939317045644,0.477,0.245,3.22629830781463e-190,"Secretory","GPX2"
2.83268998178709e-193,0.683718773871125,0.573,0.358,8.49806994536126e-190,"Secretory","CCNL1"
1.7881219757451e-189,0.929473531007466,0.573,0.36,5.3643659272353e-186,"Secretory","JUN"
2.87882909029377e-184,1.14272661173002,0.578,0.349,8.6364872708813e-181,"Secretory","IGFBP3"
2.97455682944317e-184,0.883839153959194,0.543,0.333,8.92367048832952e-181,"Secretory","RHOB"
3.85336608924694e-184,0.684101295250868,0.566,0.336,1.15600982677408e-180,"Secretory","SELENOM"
9.61749146056333e-183,0.938806023192377,0.531,0.302,2.885247438169e-179,"Secretory","WNT7B"
1.31253554201861e-182,0.882139650556341,0.562,0.335,3.93760662605583e-179,"Secretory","IER2"
5.63420419761653e-181,0.74369358932163,0.597,0.369,1.69026125928496e-177,"Secretory","RPS2"
4.30568857694044e-180,0.38135246854035,0.388,0.242,1.29170657308213e-176,"Secretory","RPL39L"
6.58146847684884e-180,0.750754623027186,0.555,0.335,1.97444054305465e-176,"Secretory","SRGAP3"
8.9636908023257e-180,0.645155945220784,0.657,0.421,2.68910724069771e-176,"Secretory","RPS29"
1.65043631331945e-179,0.741844989505136,0.57,0.348,4.95130893995836e-176,"Secretory","CTSD"
1.13182674358171e-174,1.20649018338611,0.538,0.319,3.39548023074514e-171,"Secretory","ID1"
7.00533842049748e-173,0.629438272725165,0.585,0.347,2.10160152614924e-169,"Secretory","RHOBTB3"
4.01181178259954e-170,0.844147380189195,0.486,0.295,1.20354353477986e-166,"Secretory","ANKRD36C"
1.20712083663204e-167,0.927727401822377,0.429,0.199,3.62136250989612e-164,"Secretory","FAM3D"
8.93889072144652e-166,1.87769207632798,0.478,0.205,2.68166721643396e-162,"Secretory","CXCL3"
8.86555090682857e-165,0.852096086250302,0.54,0.317,2.65966527204857e-161,"Secretory","NFKBIA"
3.98098440923798e-163,0.684412587025511,0.588,0.377,1.19429532277139e-159,"Secretory","ZFP36L1"
1.59615009414631e-162,0.989203876053451,0.42,0.21,4.78845028243892e-159,"Secretory","EGR3"
1.83757266528298e-162,0.339598689448006,0.402,0.296,5.51271799584895e-159,"Secretory","CEP78"
8.79034959384687e-159,0.652303876472155,0.536,0.298,2.63710487815406e-155,"Secretory","CDC42EP5"
1.35195865263226e-158,0.679039662116785,0.435,0.221,4.05587595789679e-155,"Secretory","TMEM37"
6.89142730708252e-155,0.650366991089809,0.533,0.323,2.06742819212476e-151,"Secretory","STT3B"
8.74586101559071e-153,0.869852386221856,0.47,0.268,2.62375830467721e-149,"Secretory","PIP"
1.34095270060567e-151,1.21903813198374,0.444,0.186,4.022858101817e-148,"Secretory","DEFB1"
1.49230832844265e-151,0.728405390539043,0.539,0.346,4.47692498532795e-148,"Secretory","VSTM2L"
3.16793223787789e-151,0.594374745494857,0.526,0.333,9.50379671363367e-148,"Secretory","B4GALT5"
1.026935209331e-150,0.429646265141147,0.395,0.103,3.08080562799299e-147,"Secretory","SULT1E1"
5.50716188742248e-150,0.671822757816734,0.394,0.172,1.65214856622674e-146,"Secretory","PRKAR2B"
5.44752764757248e-147,0.63470336563522,0.372,0.125,1.63425829427174e-143,"Secretory","FER1L6"
1.78925067337941e-143,0.639859592262045,0.477,0.302,5.36775202013824e-140,"Secretory","PDP1"
4.09383701408069e-143,0.866061598330078,0.491,0.298,1.22815110422421e-139,"Secretory","DDIT3"
1.76374317120226e-142,0.939031044629539,0.452,0.162,5.29122951360679e-139,"Secretory","CYP2B6"
1.0658996009244e-141,0.730773304914577,0.494,0.283,3.19769880277321e-138,"Secretory","EPAS1"
1.75828029071441e-140,0.343896549145217,0.537,0.348,5.27484087214324e-137,"Secretory","MT-ATP6"
5.96857339366397e-140,0.809335918298914,0.448,0.18,1.79057201809919e-136,"Secretory","RAB37"
1.61396593170103e-138,0.456197244515784,0.445,0.26,4.84189779510309e-135,"Secretory","DUSP8"
7.35290097784753e-138,0.656769318290163,0.55,0.336,2.20587029335426e-134,"Secretory","NFKBIZ"
7.89940483016144e-138,0.707293254595267,0.449,0.199,2.36982144904843e-134,"Secretory","ATP10B"
1.02163023039412e-136,0.538175136071065,0.533,0.339,3.06489069118236e-133,"Secretory","ARID5B"
3.15728656938329e-135,0.821624338311203,0.416,0.145,9.47185970814988e-132,"Secretory","SFRP2"
2.7165939003621e-133,0.71999809024746,0.459,0.276,8.1497817010863e-130,"Secretory","KLF4"
3.40806419233301e-133,0.686219546871421,0.484,0.302,1.0224192576999e-129,"Secretory","IRAK3"
3.25172037632588e-132,0.748075548500495,0.382,0.232,9.75516112897764e-129,"Secretory","KRT4"
7.86359181676129e-131,0.686744174437001,0.459,0.196,2.35907754502839e-127,"Secretory","KCNJ15"
7.41722995095459e-129,0.881578346996293,0.513,0.346,2.22516898528638e-125,"Secretory","CD74"
1.06961975236739e-128,0.764113386455285,0.53,0.346,3.20885925710218e-125,"Secretory","DUSP1"
6.35284309169265e-128,0.655791389767141,0.507,0.322,1.9058529275078e-124,"Secretory","TSC22D3"
4.20164502019e-126,0.537792280674156,0.409,0.228,1.260493506057e-122,"Secretory","CNTNAP3"
1.47413632613764e-125,0.44389870164394,0.568,0.38,4.42240897841292e-122,"Secretory","SQSTM1"
7.06890898571214e-124,0.576641007043923,0.44,0.296,2.12067269571364e-120,"Secretory","H1-3"
2.75114717003239e-123,0.658191839132642,0.511,0.342,8.25344151009717e-120,"Secretory","HERPUD1"
3.15734584205143e-122,0.64503797291554,0.467,0.312,9.47203752615428e-119,"Secretory","JDP2"
1.57742238532248e-120,0.53315471340928,0.494,0.318,4.73226715596743e-117,"Secretory","SIPA1L2"
1.63571605547284e-119,0.651289824871609,0.397,0.186,4.90714816641852e-116,"Secretory","PAQR4"
7.68662812723148e-119,0.62224638711986,0.509,0.352,2.30598843816945e-115,"Secretory","ZFP36"
1.46746006967728e-118,0.715279030622094,0.52,0.364,4.40238020903184e-115,"Secretory","GLUL"
3.75546586119773e-118,0.596239127243121,0.463,0.334,1.12663975835932e-114,"Secretory","GCHFR"
3.77821817733328e-118,0.670249852657374,0.475,0.215,1.13346545319998e-114,"Secretory","CSF1"
3.49698206447465e-117,0.901210559237437,0.435,0.266,1.0490946193424e-113,"Secretory","BIRC3"
2.85849397654481e-116,0.624216969093514,0.537,0.311,8.57548192963442e-113,"Secretory","PTGES"
1.41762987771194e-115,0.538499272869577,0.423,0.121,4.25288963313583e-112,"Secretory","ADRA2C"
2.37680354700869e-114,0.673613422187186,0.456,0.317,7.13041064102607e-111,"Secretory","PARD6B"
3.84838495756564e-114,0.827328989067357,0.437,0.152,1.15451548726969e-110,"Secretory","FAM20A"
1.85262241424948e-113,0.446624305601904,0.521,0.363,5.55786724274844e-110,"Secretory","BTG3"
2.17999584244048e-112,0.461004911305832,0.42,0.266,6.53998752732144e-109,"Secretory","RORA"
1.78802343069961e-111,0.524021374314758,0.534,0.378,5.36407029209884e-108,"Secretory","CYB5A"
2.33529983121715e-111,0.459305391100018,0.357,0.206,7.00589949365144e-108,"Secretory","CIT"
1.44617087646818e-110,0.732351457459103,0.484,0.261,4.33851262940454e-107,"Secretory","PLPP3"
2.24676173404609e-110,0.451914986369244,0.342,0.157,6.74028520213828e-107,"Secretory","FUT6"
1.41689145033379e-108,1.1551160502418,0.459,0.259,4.25067435100136e-105,"Secretory","S100P"
8.40200867853364e-107,0.830858229071571,0.502,0.36,2.52060260356009e-103,"Secretory","SLC34A2"
3.72076466393523e-106,0.487677982222118,0.435,0.323,1.11622939918057e-102,"Secretory","IQGAP2"
6.88300434525903e-106,0.521323786713903,0.492,0.322,2.06490130357771e-102,"Secretory","ZNHIT6"
1.29328423306473e-105,0.940405447281519,0.402,0.188,3.8798526991942e-102,"Secretory","RNASE1"
6.88987960862807e-105,0.458481073107278,0.309,0.118,2.06696388258842e-101,"Secretory","NR4A3"
