"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LOC102540889",3.44018801873033e-19,-0.609235078607759,0.43,0.802,9.76566172876978e-15
"TMSB10",3.46330727589408e-19,-0.509996400378467,0.704,0.887,9.83129036408052e-15
"SH3BGRL3",4.16275433795891e-19,-0.505031154345924,0.17,0.63,1.1816810739164e-14
"ITGAV",8.40376502774559e-19,-0.515406184855836,0.326,0.737,2.38557677842614e-14
"LOC107033072",8.77986381925127e-19,-0.516320203784858,0.311,0.728,2.49233994237086e-14
"LMO4",1.62765732662535e-18,-0.504045841935872,0.274,0.677,4.62043085309138e-14
"CLDN8",2.34841898310854e-18,-0.591708515151922,0.104,0.524,6.66645696735022e-14
"GPX3",2.94278578321152e-18,-0.550395649890886,0.096,0.494,8.35368600280254e-14
"EPAS1",5.74299741367871e-18,-0.573549394810877,0.533,0.835,1.63026467582097e-13
"LOC102544403",6.18009239929528e-18,-0.55709473978957,0.252,0.65,1.75434282938795e-13
"TM7SF2",1.63839119921409e-17,-0.50907152464841,0.37,0.796,4.65090109720904e-13
"CCND1",1.0116009882699e-16,-0.510159309347672,0.252,0.664,2.87163172540178e-12
"MUC1",1.14623798757238e-16,-0.503945170203367,0.437,0.8,3.2538257753217e-12
"AGR2",2.61298935288795e-16,-0.548172349133803,0.348,0.72,7.41749287604303e-12
"KRT4",1.24638667447904e-15,-0.628062727249123,0.296,0.658,3.53811785284366e-11
"MMP7",4.37114850270191e-15,-0.546220338177247,0.393,0.74,1.24083792546199e-10
"CDH6",2.03867522118466e-14,-0.616164399540176,0.259,0.617,5.78718735037689e-10
"STC1",5.40449916264904e-14,-0.535716533378581,0.148,0.503,1.53417517730118e-09
"LOC102528731",5.93742442601675e-13,-0.504103365110327,0.444,0.794,1.68545667181337e-08
"PTGS2",1.39214935453512e-11,-0.510406517169664,0.133,0.424,3.95189437271885e-07
