"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EGR2",5.74604287208067e-75,0.258839461088596,0.437,0.291,1.63112919009754e-70
"HBEGF",1.89309770672688e-73,-0.259212180800723,0.283,0.47,5.37393646008559e-69
"C3H5orf46",6.17264516796256e-71,-0.284145160213139,0.464,0.612,1.75222878382953e-66
"APOBEC1",1.01414389460877e-70,-0.266495101905124,0.615,0.726,2.8788502736259e-66
"F3",4.5574598460671e-70,-0.264483930512123,0.34,0.53,1.29372612650307e-65
"MMP7",1.89968287103412e-68,-0.266256487259835,0.586,0.74,5.39262976600455e-64
"PTGS2",6.28544210653378e-67,-0.293255778238483,0.255,0.424,1.78424845078174e-62
"LOC102541268",7.84401578306823e-66,0.250400110801216,0.598,0.431,2.22668076033958e-61
"LOXL4",6.37073660596343e-60,-0.263188338322964,0.447,0.608,1.80846100033484e-55
"CDH6",1.86056040729352e-54,-0.289477071621006,0.545,0.617,5.2815728281841e-50
"LOC102542655",1.35569191846648e-47,0.301194363848969,0.431,0.318,3.8484026489508e-43
"TIMP3",4.38442036500705e-33,0.269804902069418,0.429,0.35,1.24460540901455e-28
